,gender,age,cust_id,became_member_on,income,days_as_member
1,F,55,0610b486422d4921ae7d2bf64640c50b,2017-07-15,112000.0,1230
3,F,75,78afa995795e4d85b5d9ceeca43f5fef,2017-05-09,100000.0,1297
5,M,68,e2127556f4f64592b11af22de27a7932,2018-04-26,70000.0,945
8,M,65,389bc3fa690240e798340f5a15918d5c,2018-02-09,53000.0,1021
12,M,58,2eeac8d8feae4a8cad5a6af0499a211d,2017-11-11,51000.0,1111
13,F,61,aa4862eba776480b8bb9c68455b8c2e1,2017-09-11,57000.0,1172
14,M,26,e12aeaf2d47d42479ea1c4ac3d8286c6,2014-02-13,46000.0,2478
15,F,62,31dda685af34476cad5bc968bdb01c53,2016-02-11,71000.0,1750
16,M,49,62cf5e10845442329191fc246e7bcea3,2014-11-13,52000.0,2205
18,M,57,6445de3b47274c759400cd68131d91b4,2017-12-31,42000.0,1061
19,F,61,a448667f336b42c9a66fc5ffd5d73772,2018-05-01,40000.0,940
20,F,40,440cf1fd7580490c971d8c651ed962af,2016-05-04,71000.0,1667
21,M,64,4b0da7e80e5945209a1fdddfe813dbe0,2017-09-09,100000.0,1174
22,F,78,c27e0d6ab72c455a8bb66d980963de60,2017-06-16,71000.0,1259
24,M,42,f806632c011441378d4646567f357a21,2013-08-11,69000.0,2664
25,F,56,d058f73bf8674a26a95227db098147b1,2018-04-28,88000.0,943
27,F,33,c6c9884912c645429f3333f912b55f44,2017-09-26,52000.0,1157
28,F,46,7429a044884842d6862f516c38b1156f,2017-09-11,59000.0,1172
29,M,59,ebe7ef46ea6f4963a7dd49f501b26779,2015-01-21,41000.0,2136
30,M,67,5917d13f6fa04286abdf95f4d5cefb1e,2014-08-23,96000.0,2287
31,O,53,d1ede868e29245ea91818a903fec04c6,2017-09-16,52000.0,1167
32,M,22,1e9420836d554513ab90eba98552d0a9,2017-09-25,70000.0,1158
33,F,96,868317b9be554cb18e50bc68484749a2,2017-11-17,89000.0,1105
34,M,40,f082d80f0aac47a99173ba8ef8fc1909,2016-07-09,33000.0,1601
35,F,69,102e9454054946fda62242d2e176fdce,2016-08-14,57000.0,1565
37,M,56,8dabe2142cdf4013a6f4786edf8ab00f,2014-05-11,68000.0,2391
38,F,26,9f30b375d7bd4c62a884ffe7034e09ee,2017-08-12,63000.0,1202
40,M,75,6e014185620b49bd98749f728747572f,2015-11-12,40000.0,1841
41,F,20,02c083884c7d45b39cc68e1314fec56c,2016-07-11,30000.0,1599
42,M,45,c0d210398dee4a0895b24444a5fcd1d2,2018-07-07,33000.0,873
43,M,61,8b70ca1f5f5a45bdac2ac2f990b71526,2017-11-21,98000.0,1101
46,F,69,8e7c7465e98c43d8a01f51e2b5c29542,2013-09-18,37000.0,2626
47,F,54,57dd18ec5ddc46828afb81ec5977bef2,2017-02-07,80000.0,1388
48,M,39,be8a5d1981a2458d90b255ddc7e0d174,2014-05-27,51000.0,2375
49,F,41,3f89b8f80ebc4f94b7074f28071aa8d4,2015-09-21,41000.0,1893
50,F,79,a3b9b4bf115e4564933ea2e4bc936843,2015-04-15,48000.0,2052
51,F,66,7584948ea6d04f94b8798624706261c2,2018-04-08,38000.0,963
52,F,56,e9844d5beac04bf8b8d3ad18f7e37fca,2017-06-26,52000.0,1249
53,F,39,f247806381704ea58c1b06f60602a6ae,2014-07-23,56000.0,2318
55,M,42,9fa9ae8f57894cc9a3b8a9bbe0fc1b2f,2016-01-17,96000.0,1775
58,F,78,fe8264108d5b4f198453bbb1fa7ca6c9,2016-10-09,93000.0,1509
59,M,45,186d6403f5824c739555b732f4af3f16,2017-10-06,48000.0,1147
60,M,29,8a87fda1a6644337b4394a4c3cd0946c,2016-04-30,50000.0,1671
61,M,44,b7a66e629b134079a9bc7120c7b9947b,2017-09-24,35000.0,1159
62,M,63,ca82e1ebc759402c8ab95c341755bdf1,2018-07-13,56000.0,867
63,M,36,54890f68699049c2a04d415abc25e717,2017-12-28,56000.0,1064
64,F,76,ab66a363907e43e9a7cd535f1578245b,2018-03-14,47000.0,988
65,M,68,d3f146b615514c6380b168bb3df5f05b,2017-08-23,87000.0,1191
66,M,75,a5a6ef2b78a04ddc9f374dd7c7f60bff,2015-11-29,52000.0,1824
67,M,67,2e87ba0fba1a4d1a8614af771f07a94d,2017-02-26,76000.0,1369
68,M,77,d8af520c4a8a4c77b921098d7d838c4d,2016-07-30,51000.0,1580
69,M,76,39dbcf43e24d41f4bbf0f134157e0e1e,2014-08-31,64000.0,2279
70,M,57,b62e66ca4dcf4df39fd522e750a88d81,2018-02-07,98000.0,1023
71,F,53,8c7df0c393db488aac3e58b06a7ea5f9,2016-07-06,72000.0,1604
72,F,53,3a1242dda16248728e350c4bdeb21972,2016-12-31,117000.0,1426
73,F,53,8045834137dc47faa24f2c4547969f33,2017-10-26,55000.0,1127
74,F,61,fb98ebe9e3e14afaa5b5db182b00b7ec,2017-11-10,112000.0,1112
75,F,67,5cd6577aca5d4b419e452f9f505ffce7,2016-09-10,77000.0,1538
76,F,58,99e9a1916821461ebd5d5048dc2dff7d,2018-01-25,85000.0,1036
77,F,46,e528ceb341964128aaf58a59733ec2af,2018-06-29,36000.0,881
78,M,30,faf74115a43b4f718f4d4c0de116ee8a,2017-12-02,41000.0,1090
79,M,59,0b73997a269247088b2a63355f53ee58,2017-08-20,89000.0,1194
81,M,51,f44b44b53c0548d5b27c812fda4c358a,2015-12-31,41000.0,1792
82,M,27,6e04a90a0e074496b5f229eb1f553433,2018-01-10,35000.0,1051
83,M,40,262ad0fb526a4d53b572007da60cce24,2018-02-27,53000.0,1003
85,F,73,a2b7a0b3487a4d779ddf4e11a034e2ee,2018-04-19,91000.0,952
86,F,74,2c5c63e5124e417b8504f76c868a4190,2015-12-24,107000.0,1799
87,M,42,9d6da0a2ac54474e8ec986fd21cecef0,2015-11-21,66000.0,1832
88,M,78,571b739ada3041fb8fbd20f23ce034f7,2015-11-11,58000.0,1842
89,F,54,816afd4505d047cf893275fbfe825590,2016-12-25,53000.0,1432
90,F,70,13b7b2eccf664a329d83d2a238a9a11d,2018-06-13,74000.0,897
91,F,49,68eee228713c429ebe1300155ad1fb33,2017-04-08,57000.0,1328
92,F,62,ffc6c9fbe34b4578911dcdf6745b4c74,2018-04-10,57000.0,961
93,M,64,cbebad9819494b479dbf0c1207b4c0c5,2017-03-05,70000.0,1362
94,F,89,4264b1d027cc493281bba4f44bfedaca,2017-11-14,87000.0,1108
95,M,73,0ba6e2ad781c4429afd26cf0b35f2d11,2018-04-01,51000.0,970
97,F,50,b5abc1e85be84f43937b4fca0ad238cb,2017-05-06,93000.0,1300
98,F,90,1c587de019994f93a242c6864fd7bc55,2015-12-10,98000.0,1813
99,F,68,3f4e408b0b2d4ea89dd16d7437d867c1,2016-07-31,84000.0,1579
100,M,60,13bda8fbd70a4814b956df1d55320398,2017-02-06,64000.0,1389
101,M,45,b19c8e7ac2ff40ae92b4fcf3247f8912,2017-08-15,54000.0,1199
102,M,66,21c73d53e2a74bb1b4dc172bff2b1aad,2016-01-24,49000.0,1768
105,F,19,1abeb816d9fa49b4b5b5ae51bc3d24c3,2016-10-15,73000.0,1503
106,F,66,92e07c49ee7448fca6e48df0c96e3eec,2018-02-16,58000.0,1014
107,F,72,f8aedd0cbea0419c806842b4265b82e5,2016-08-11,72000.0,1568
109,M,76,a9780228a1d04539afdee8b745e4be10,2016-04-07,63000.0,1694
110,M,52,94f14dcfedba47e18b7efca13dd7574b,2017-05-15,78000.0,1291
111,M,55,8a4bc602e4424ab6b16f0b907f2f22af,2017-12-10,31000.0,1082
112,F,39,6d28f18e91324d358d69d1e4b01f1ace,2017-09-19,60000.0,1164
113,F,45,52f0bd64403f4958ab8fe9a6947c13c3,2016-01-26,44000.0,1766
114,F,57,93e67942586e43fb87d5ffb1ead8db41,2017-07-04,114000.0,1241
115,M,74,e641af076cc54529bec6ab61fc25f4a6,2018-07-12,48000.0,868
116,M,18,716a961d2afb4c1d8307522a8cbb4f07,2016-07-27,47000.0,1583
117,M,53,13033baa9d294c3c9165a00d71b72614,2017-09-27,96000.0,1156
118,F,59,15953663abf54181adf1fd4c39442b85,2017-09-10,98000.0,1173
119,M,57,0ac5ffb0f1624297a453494b845e1a91,2014-11-04,46000.0,2214
