,gender,age,cust_id,became_member_on,income,days_as_member,Total offer completed,Total offer received,Total offer viewed,Total transaction,offer completed_via_email,offer completed_via_social,offer completed_via_mobile,offer completed_via_web,offer completed bogo count,offer completed discount count,offer received_via_email,offer received_via_social,offer received_via_mobile,offer received_via_web,offer received bogo count,offer received discount count,offer received informational count,offer viewed_via_email,offer viewed_via_social,offer viewed_via_mobile,offer viewed_via_web,offer viewed bogo count,offer viewed discount count,offer viewed informational count,Total transaction amount,avg_difficulty,avg_duration,total_reward_received,total_reward_defined,total_view_ratio,total_completion_ratio,avg_transaction_amt,transactions_per_membership_days
0,F,55,0610b486422d4921ae7d2bf64640c50b,2017-07-15,112000.0,1230,1.0,2.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.01,3.3333333333333335,144.0,5.0,5.0,0.0,0.5,25.67,0.0024390243902439024
1,F,75,78afa995795e4d85b5d9ceeca43f5fef,2017-05-09,100000.0,1297,3.0,4.0,4.0,7.0,3.0,2.0,3.0,2.0,3.0,0.0,4.0,3.0,4.0,2.0,3.0,0.0,1.0,4.0,3.0,4.0,2.0,3.0,0.0,1.0,159.27,5.454545454545454,137.45454545454547,20.0,20.0,1.0,0.75,22.75,0.005397070161912105
2,M,68,e2127556f4f64592b11af22de27a7932,2018-04-26,70000.0,945,2.0,4.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,2.0,0.0,57.730000000000004,7.222222222222222,184.0,7.0,9.0,0.75,0.5,19.24,0.0031746031746031746
3,M,65,389bc3fa690240e798340f5a15918d5c,2018-02-09,53000.0,1021,5.0,6.0,6.0,3.0,5.0,3.0,5.0,5.0,3.0,2.0,6.0,3.0,6.0,6.0,4.0,2.0,0.0,6.0,3.0,6.0,6.0,4.0,2.0,0.0,36.43,6.764705882352941,163.76470588235293,19.0,24.0,1.0,0.833,12.14,0.002938295788442703
4,M,58,2eeac8d8feae4a8cad5a6af0499a211d,2017-11-11,51000.0,1111,1.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,3.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,15.62,7.333333333333333,192.0,2.0,5.0,0.67,0.333,3.9,0.0036003600360036
5,F,61,aa4862eba776480b8bb9c68455b8c2e1,2017-09-11,57000.0,1172,3.0,5.0,5.0,6.0,3.0,3.0,3.0,2.0,3.0,0.0,5.0,4.0,4.0,3.0,3.0,1.0,1.0,5.0,4.0,4.0,3.0,3.0,1.0,1.0,85.55,8.846153846153847,142.15384615384616,25.0,30.0,1.0,0.6,14.26,0.005119453924914676
6,M,26,e12aeaf2d47d42479ea1c4ac3d8286c6,2014-02-13,46000.0,2478,1.0,6.0,1.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,3.0,5.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,56.22,15.0,204.0,5.0,29.0,0.17,0.167,5.11,0.00443906376109766
7,F,62,31dda685af34476cad5bc968bdb01c53,2016-02-11,71000.0,1750,4.0,6.0,5.0,8.0,4.0,4.0,4.0,4.0,0.0,4.0,6.0,5.0,5.0,6.0,0.0,6.0,0.0,5.0,4.0,4.0,5.0,0.0,5.0,0.0,160.25,9.733333333333333,201.6,11.0,18.0,0.83,0.667,20.03,0.004571428571428572
8,M,49,62cf5e10845442329191fc246e7bcea3,2014-11-13,52000.0,2205,1.0,3.0,2.0,9.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,144.11000000000004,8.333333333333334,148.0,10.0,15.0,0.67,0.333,16.01,0.004081632653061225
9,M,57,6445de3b47274c759400cd68131d91b4,2017-12-31,42000.0,1061,2.0,5.0,1.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,1.0,4.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,19.1,7.0,168.0,8.0,18.0,0.2,0.4,3.18,0.005655042412818096
10,F,61,a448667f336b42c9a66fc5ffd5d73772,2018-05-01,40000.0,940,0.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,20.78,5.0,129.6,0.0,15.0,0.67,0.0,2.97,0.007446808510638298
11,F,40,440cf1fd7580490c971d8c651ed962af,2016-05-04,71000.0,1667,5.0,5.0,4.0,16.0,5.0,3.0,4.0,5.0,0.0,5.0,5.0,3.0,4.0,5.0,0.0,5.0,0.0,4.0,3.0,3.0,4.0,0.0,4.0,0.0,300.68,10.214285714285714,183.42857142857142,16.0,16.0,0.8,1.0,18.79,0.009598080383923215
12,M,64,4b0da7e80e5945209a1fdddfe813dbe0,2017-09-09,100000.0,1174,3.0,5.0,4.0,7.0,3.0,1.0,1.0,2.0,1.0,2.0,5.0,2.0,3.0,3.0,2.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,211.29000000000002,12.5,186.0,20.0,30.0,0.8,0.6,30.18,0.00596252129471891
