gender,age,cust_id,became_member_on,income,days_as_member,Total offer completed,Total offer received,Total offer viewed,Total transaction,offer completed_via_email,offer completed_via_social,offer completed_via_mobile,offer completed_via_web,offer completed bogo count,offer completed discount count,offer received_via_email,offer received_via_social,offer received_via_mobile,offer received_via_web,offer received bogo count,offer received discount count,offer received informational count,offer viewed_via_email,offer viewed_via_social,offer viewed_via_mobile,offer viewed_via_web,offer viewed bogo count,offer viewed discount count,offer viewed informational count,Total transaction amount,avg_difficulty,avg_duration,total_reward_received,total_reward_defined,total_view_ratio,total_completion_ratio,avg_transaction_amt,transactions_per_membership_days,weeks_as_member,avg transaction count by membership time,customer_type,customer type
F,55,0610b486422d4921ae7d2bf64640c50b,2017-07-15,112000,1230,1,2,0,3,1,0,1,1,1,0,2,0,2,2,1,0,1,0,0,0,0,0,0,0,77.01,3.333333333,144,5,5,0,0.5,25.67,0.00243902439,54.57142857,0.05497382199,passive,passive
F,75,78afa995795e4d85b5d9ceeca43f5fef,2017-05-09,100000,1297,3,4,4,7,3,2,3,2,3,0,4,3,4,2,3,0,1,4,3,4,2,3,0,1,159.27,5.454545455,137.4545455,20,20,1,0.75,22.75,0.005397070162,64.14285714,0.1091314031,active,passive
M,68,e2127556f4f64592b11af22de27a7932,2018-04-26,70000,945,2,4,3,3,2,1,2,2,1,1,4,1,4,4,1,2,1,3,1,3,3,1,2,0,57.73,7.222222222,184,7,9,0.75,0.5,19.24,0.003174603175,13.85714286,0.2164948454,passive,passive
M,65,389bc3fa690240e798340f5a15918d5c,2018-02-09,53000,1021,5,6,6,3,5,3,5,5,3,2,6,3,6,6,4,2,0,6,3,6,6,4,2,0,36.43,6.764705882,163.7647059,19,24,1,0.833,12.14,0.002938295788,24.71428571,0.1213872832,active,passive
M,58,2eeac8d8feae4a8cad5a6af0499a211d,2017-11-11,51000,1111,1,3,2,4,1,1,1,1,0,1,3,2,3,3,0,2,1,2,2,2,2,0,2,0,15.62,7.333333333,192,2,5,0.67,0.333,3.9,0.003600360036,37.57142857,0.1064638783,passive,passive
F,61,aa4862eba776480b8bb9c68455b8c2e1,2017-09-11,57000,1172,3,5,5,6,3,3,3,2,3,0,5,4,4,3,3,1,1,5,4,4,3,3,1,1,85.55,8.846153846,142.1538462,25,30,1,0.6,14.26,0.005119453925,46.28571429,0.1296296296,active,passive
M,26,e12aeaf2d47d42479ea1c4ac3d8286c6,2014-02-13,46000,2478,1,6,1,11,1,0,0,1,0,1,6,1,3,5,1,5,0,1,1,1,0,1,0,0,56.22,15,204,5,29,0.17,0.167,5.11,0.004439063761,232.8571429,0.0472392638,passive,passive
F,62,31dda685af34476cad5bc968bdb01c53,2016-02-11,71000,1750,4,6,5,8,4,4,4,4,0,4,6,5,5,6,0,6,0,5,4,4,5,0,5,0,160.25,9.733333333,201.6,11,18,0.83,0.667,20.03,0.004571428571,128.8571429,0.06208425721,active,passive
M,49,62cf5e10845442329191fc246e7bcea3,2014-11-13,52000,2205,1,3,2,9,1,1,1,0,1,0,3,2,2,1,1,1,1,2,2,2,0,1,0,1,144.11,8.333333333,148,10,15,0.67,0.333,16.01,0.004081632653,193.8571429,0.04642593957,passive,passive
M,57,6445de3b47274c759400cd68131d91b4,2017-12-31,42000,1061,2,5,1,6,2,1,2,2,1,1,5,1,4,5,2,2,1,1,1,1,1,0,1,0,19.1,7,168,8,18,0.2,0.4,3.18,0.005655042413,30.42857143,0.1971830986,passive,passive
